GC_Run ,Date,Plot,Treatment,Time_mins ,Chamber_Temp_C,Surface_Area_m2,Height_m,Volume_m3,Sample_CH4_Peak,Sample_CH4_ppm,Sample_CO2_Peak,Sample_CO2_ppm,Sample_N2O_Peak,Sample_N2O_ppm,Sample_Gas1_Peak,Sample_Gas1_ppm,Sample_Gas2_Peak,Sample_Gas2_ppm,Sample_Gas3_Peak,Sample_Gas3_ppm
Batch14_2024,01-Aug-24,S-M-W-2,SMW,42,41.7,0.068349275,0.75945,,505344,,,,37250,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-2,SMW,63,43.1,0.068349275,0.75945,,756101,,,,37451,,,,,,,
Batch14_2024,01-Aug-24,C-3,C,0,37.5,0.068349275,0.79595,,48004,,,,38154,,,,,,,
Batch14_2024,01-Aug-24,C-3,C,21,40.7,0.068349275,0.79595,,132319,,,,38007,,,,,,,
Batch14_2024,01-Aug-24,C-3,C,42,40.8,0.068349275,0.79595,,294552,,,,38130,,,,,,,
Batch14_2024,01-Aug-24,C-3,C,63,42.4,0.068349275,0.79595,,389539,,,,37368,,,,,,,
Batch14_2024,01-Aug-24,C-S-3,CS,0,37.1,0.068349275,0.7957,,59909,,,,37739,,,,,,,
Batch14_2024,01-Aug-24,C-S-3,CS,21,37.3,0.068349275,0.7957,,155927,,,,38789,,,,,,,
Batch14_2024,01-Aug-24,C-S-3,CS,42,37.9,0.068349275,0.7957,,315294,,,,38716,,,,,,,
Batch14_2024,01-Aug-24,C-S-3,CS,63,39.5,0.068349275,0.7957,,510359,,,,37729,,,,,,,
Batch14_2024,01-Aug-24,S-M-3,SM,0,33.6,0.068349275,0.7927,,68567,,,,37717,,,,,,,
Batch14_2024,01-Aug-24,S-M-3,SM,21,37.8,0.068349275,0.7927,,144589,,,,37559,,,,,,,
Batch14_2024,01-Aug-24,S-M-3,SM,42,38.1,0.068349275,0.7927,,269624,,,,38711,,,,,,,
Batch14_2024,01-Aug-24,S-M-3,SM,63,39.4,0.068349275,0.7927,,339633,,,,39013,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-3,SMW,0,39.1,0.068349275,0.78895,,90550,,,,39329,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-3,SMW,21,39.9,0.068349275,0.78895,,206925,,,,38148,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-3,SMW,42,41.2,0.068349275,0.78895,,386925,,,,37890,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-3,SMW,63,41.5,0.068349275,0.78895,,538881,,,,38807,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-3,CSMD,0,36.1,0.068349275,0.7977,,95497,,,,38083,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-3,CSMD,21,38.1,0.068349275,0.7977,,176183,,,,37063,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-3,CSMD,42,40.1,0.068349275,0.7977,,342502,,,,38043,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-3,CSMD,63,41,0.068349275,0.7977,,435742,,,,38273,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-4,CSMD,0,34.9,0.068349275,0.7997,,46697,,,,37892,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-4,CSMD,21,35.6,0.068349275,0.7997,,137366,,,,39157,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-4,CSMD,42,38.2,0.068349275,0.7997,,255705,,,,37276,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-4,CSMD,63,41.2,0.068349275,0.7997,,363809,,,,39697,,,,,,,
Batch14_2024,01-Aug-24,C-4,C,0,38.9,0.068349275,0.7897,,44423,,,,38842,,,,,,,
